iter	Passed	Remaining
624	1633	980
625	1636	977
626	1637	974
627	1639	971
628	1641	968
629	1643	964
630	1645	962
631	1647	959
632	1649	956
633	1651	953
634	1653	950
635	1655	947
636	1657	944
637	1659	941
638	1661	938
639	1663	935
640	1666	933
641	1667	930
642	1670	927
643	1673	924
644	1675	922
645	1677	919
646	1680	916
647	1683	914
648	1685	911
649	1688	909
650	1690	906
651	1692	903
652	1695	900
653	1697	898
654	1700	895
655	1702	892
656	1705	890
657	1707	887
658	1710	884
659	1712	882
660	1715	879
661	1717	877
662	1720	874
663	1722	871
664	1725	869
665	1727	866
666	1729	863
667	1731	860
668	1733	857
669	1734	854
670	1736	851
671	1738	848
672	1740	845
673	1743	843
674	1745	840
675	1747	837
676	1749	834
677	1751	831
678	1753	828
679	1755	826
680	1757	823
681	1760	820
682	1761	817
683	1764	814
684	1766	812
685	1767	809
686	1770	806
687	1772	803
688	1774	800
689	1776	798
690	1779	795
691	1781	792
692	1784	790
693	1786	787
694	1789	785
695	1791	782
696	1793	779
697	1795	776
698	1797	774
699	1799	771
700	1802	768
701	1805	766
702	1807	763
703	1815	763
704	1820	761
705	1822	759
706	1827	757
707	1832	755
708	1836	753
709	1845	753
710	1848	751
711	1851	748
712	1857	747
713	1860	745
714	1866	744
715	1871	742
716	1879	741
717	1882	739
718	1885	736
719	1888	734
720	1891	731
721	1893	729
722	1895	726
723	1897	723
724	1900	720
725	1902	717
726	1905	715
727	1907	712
728	1910	710
729	1912	707
730	1914	704
731	1919	702
732	1921	699
733	1923	697
734	1925	694
735	1927	691
736	1930	688
737	1932	686
738	1934	683
739	1937	680
740	1939	677
741	1942	675
742	1944	672
743	1946	669
744	1948	667
745	1951	664
746	1953	661
747	1955	658
748	1957	655
749	1959	653
750	1961	650
751	1963	647
752	1965	644
753	1967	642
754	1970	639
755	1972	636
756	1974	633
757	1976	631
758	1978	628
759	1980	625
760	1982	622
761	1985	620
762	1987	617
763	1989	614
764	1991	611
765	1993	609
766	1995	606
767	1997	603
768	2000	600
769	2002	598
770	2004	595
771	2007	592
772	2009	590
773	2011	587
774	2013	584
775	2015	581
776	2017	579
777	2019	576
778	2021	573
779	2023	570
780	2025	567
781	2027	565
782	2029	562
783	2031	559
784	2033	556
785	2035	554
786	2037	551
787	2039	548
788	2040	545
789	2042	543
790	2044	540
791	2046	537
792	2048	534
793	2050	531
794	2052	529
795	2054	526
796	2056	523
797	2057	520
798	2059	518
799	2061	515
800	2063	512
801	2064	509
802	2067	507
803	2068	504
804	2070	501
805	2072	498
806	2074	496
807	2075	493
808	2077	490
